         360
   gj         fig        sg         vg         ssv        ssv1       ttv        ttp        vg1        xp         yp         sg1        cp         t          f          d1         d2         xd1        yd1
   0.698132   1.346829   1.852972   0.975572  -0.703364  -0.755379   0.500558  -0.330593   0.926125  -0.149129   0.040596   1.938090   0.142292   0.025857  -4.944672   0.036749   0.017843  -0.137200   0.075356
   0.715585   1.340014   1.846002   0.980023  -0.697275  -0.749354   0.514448  -0.335756   0.930291  -0.156068   0.042998   1.930747   0.134559   0.027740  -4.947525   0.036195   0.017566  -0.144142   0.077172
   0.733038   1.333048   1.838911   0.984657  -0.690942  -0.743084   0.528189  -0.340770   0.934631  -0.163115   0.045477   1.923278   0.126465   0.029702  -4.950612   0.035630   0.017283  -0.151206   0.079058
   0.750492   1.325935   1.831705   0.989482  -0.684360  -0.736562   0.542129  -0.345984   0.939154  -0.170264   0.048033   1.915685   0.117990   0.031744  -4.953145   0.035050   0.016994  -0.158378   0.081006
   0.767945   1.318675   1.824386   0.994504  -0.677523  -0.729783   0.555910  -0.351038   0.943867  -0.177512   0.050666   1.907973   0.109116   0.033866  -4.954674   0.034452   0.016700  -0.165665   0.083017
   0.785398   1.311269   1.816958   0.999734  -0.670425  -0.722741   0.569898  -0.356300   0.948777  -0.184853   0.053377   1.900148   0.099822   0.036069  -4.956387   0.033843   0.016400  -0.173048   0.085094
   0.802851   1.303720   1.809428   1.005180  -0.663060  -0.715429   0.583716  -0.361391   0.953894  -0.192283   0.056163   1.892213   0.090086   0.038351  -4.958419   0.033225   0.016095  -0.180535   0.087242
   0.820305   1.296030   1.801800   1.010853  -0.655419  -0.707840   0.597749  -0.366697   0.959228  -0.199796   0.059026   1.884173   0.079881   0.040714  -4.959420   0.032590   0.015785  -0.188111   0.089449
   0.837758   1.288200   1.794076   1.016763  -0.647497  -0.699967   0.611597  -0.371818   0.964788  -0.207386   0.061964   1.876034   0.069184   0.043156  -4.959439   0.031940   0.015470  -0.195782   0.091721
   0.855211   1.280232   1.786262   1.022921  -0.639285  -0.691803   0.625670  -0.377165   0.970585  -0.215050   0.064976   1.867799   0.057964   0.045678  -4.959691   0.031280   0.015150  -0.203530   0.094057
   0.872665   1.272127   1.778364   1.029340  -0.630774  -0.683337   0.639545  -0.382313   0.976632  -0.222781   0.068061   1.859475   0.046191   0.048278  -4.960427   0.030613   0.014825  -0.211360   0.096465
   0.890118   1.263889   1.770386   1.036034  -0.621955  -0.674561   0.653654  -0.387696   0.982941  -0.230574   0.071219   1.851066   0.033827   0.050956  -4.960667   0.029934   0.014496  -0.219257   0.098932
   0.907571   1.255518   1.762334   1.043018  -0.612819  -0.665466   0.667547  -0.392862   0.989527  -0.238424   0.074448   1.842579   0.020837   0.053712  -4.959507   0.029239   0.014162  -0.227230   0.101460
   0.925025   1.247017   1.754212   1.050306  -0.603355  -0.656040   0.681685  -0.398274   0.996403  -0.246324   0.077747   1.834018   0.007182   0.056543  -4.958023   0.028534   0.013824  -0.235257   0.104048
   0.942478   1.238388   1.746025   1.057917  -0.593552  -0.646274   0.695588  -0.403449   1.003586  -0.254269   0.081115   1.825388  -0.007185   0.059450  -4.956634   0.027821   0.013481  -0.243346   0.106702
   0.959931   1.229633   1.737780   1.065869  -0.583397  -0.636153   0.709750  -0.408885   1.011096  -0.262253   0.084549   1.816697  -0.022315   0.062430  -4.955443   0.027101   0.013135  -0.251478   0.109416
   0.977384   1.220754   1.729482   1.074185  -0.572876  -0.625663   0.723651  -0.414060   1.018952  -0.270271   0.088047   1.807949  -0.038263   0.065481  -4.954464   0.026375   0.012785  -0.259659   0.112193
   0.994838   1.211754   1.721137   1.082887  -0.561974  -0.614791   0.737825  -0.419507   1.027177  -0.278316   0.091609   1.799151  -0.055092   0.068603  -4.952203   0.025636   0.012431  -0.267874   0.115022
   1.012291   1.202633   1.712750   1.091999  -0.550677  -0.603521   0.751709  -0.424664   1.035791  -0.286382   0.095231   1.790309  -0.072864   0.071793  -4.948736   0.024885   0.012074  -0.276129   0.117906
   1.029744   1.193396   1.704327   1.101548  -0.538967  -0.591837   0.765881  -0.430109   1.044822  -0.294463   0.098912   1.781429  -0.091654   0.075049  -4.945194   0.024128   0.011714  -0.284402   0.120842
   1.047198   1.184043   1.695874   1.111564  -0.526827  -0.579719   0.779729  -0.435231   1.054299  -0.302553   0.102649   1.772518  -0.111547   0.078369  -4.941602   0.023366   0.011351  -0.292702   0.123836
   1.064651   1.174577   1.687399   1.122083  -0.514234  -0.567146   0.793884  -0.440659   1.064255  -0.310646   0.106438   1.763581  -0.132638   0.081750  -4.938066   0.022599   0.010984  -0.301007   0.126878
   1.082104   1.165002   1.678906   1.133143  -0.501165  -0.554095   0.807673  -0.445722   1.074725  -0.318735   0.110278   1.754627  -0.155035   0.085189  -4.935176   0.021829   0.010615  -0.309324   0.129974
   1.099557   1.155318   1.670404   1.144788  -0.487593  -0.540539   0.821785  -0.451107   1.085753  -0.326814   0.114164   1.745662  -0.178859   0.088684  -4.931505   0.021052   0.010244  -0.317636   0.133111
   1.117011   1.145528   1.661897   1.157062  -0.473493  -0.526453   0.835473  -0.456068   1.097378  -0.334876   0.118095   1.736694  -0.204239   0.092230  -4.925097   0.020263   0.009870  -0.325952   0.136286
   1.134464   1.135635   1.653395   1.170014  -0.458838  -0.511809   0.849504  -0.461373   1.109650  -0.342914   0.122064   1.727728  -0.231323   0.095825  -4.918544   0.019470   0.009494  -0.334246   0.139499
   1.151917   1.125642   1.644903   1.183706  -0.443590  -0.496570   0.863047  -0.466189   1.122626  -0.350922   0.126070   1.718774  -0.260289   0.099464  -4.912165   0.018676   0.009117  -0.342528   0.142753
   1.169371   1.115550   1.636428   1.198206  -0.427713  -0.480699   0.876955  -0.471370   1.136370  -0.358894   0.130107   1.709839  -0.291338   0.103143  -4.905016   0.017879   0.008737  -0.350775   0.146036
   1.186824   1.105363   1.627979   1.213593  -0.411161  -0.464151   0.890286  -0.475975   1.150958  -0.366821   0.134171   1.700931  -0.324705   0.106857  -4.898837   0.017083   0.008357  -0.358994   0.149355
   1.204277   1.095082   1.619565   1.229959  -0.393882  -0.446874   0.904004  -0.480966   1.166478  -0.374698   0.138256   1.692058  -0.360671   0.110602  -4.894086   0.016290   0.007975  -0.367161   0.152698
   1.221730   1.084711   1.611192   1.247410  -0.375819  -0.428811   0.917014  -0.485250   1.183028  -0.382516   0.142357   1.683228  -0.399556   0.114372  -4.886030   0.015488   0.007592  -0.375292   0.156057
   1.239184   1.074252   1.602869   1.266049  -0.356920  -0.409909   0.930420  -0.489929   1.200709  -0.390270   0.146469   1.674452  -0.441702   0.118160  -4.873763   0.014677   0.007209  -0.383363   0.159419
   1.256637   1.063708   1.594604   1.286012  -0.337115  -0.390098   0.942952  -0.493734   1.219648  -0.397951   0.150584   1.665738  -0.487542   0.121962  -4.861224   0.013868   0.006825  -0.391378   0.162796
   1.274090   1.053081   1.586408   1.307463  -0.316318  -0.369294   0.955907  -0.497962   1.240001  -0.405552   0.154696   1.657097  -0.537603   0.125768  -4.848293   0.013062   0.006442  -0.399313   0.166172
   1.291544   1.042374   1.578289   1.330602  -0.294426  -0.347393   0.967745  -0.501074   1.261959  -0.413066   0.158797   1.648537  -0.592541   0.129572  -4.841258   0.012272   0.006059  -0.407171   0.169560
