         360
   gj         fig        sg         vg         ssv        ssv1       ttv        ttp        vg1        xp         yp         sg1        cp
   1.326450   0.838109   1.578504   1.211854  -0.365774  -0.360440   1.117241  -0.608837   1.218336  -0.392373   0.163908   1.322217  -0.484342
   1.343904   0.828849   1.570939   1.236279  -0.340906  -0.333843   1.131685  -0.614554   1.245043  -0.398529   0.168227   1.314697  -0.550131
   1.361357   0.819533   1.563483   1.262936  -0.314560  -0.305728   1.147264  -0.621407   1.274139  -0.404558   0.172513   1.307299  -0.623431
   1.378810   0.810164   1.556146   1.292145  -0.286579  -0.275940   1.160593  -0.626009   1.305965  -0.410455   0.176756   1.300035  -0.705545
   1.396263   0.800743   1.548944   1.324454  -0.256664  -0.244181   1.175383  -0.632072   1.341091  -0.416211   0.180944   1.292916  -0.798526
   1.413717   0.791275   1.541892   1.360713  -0.224333  -0.209968   1.186922  -0.634884   1.380400  -0.421821   0.185066   1.285955  -0.905505
   1.431170   0.781760   1.534998   1.401247  -0.189551  -0.173268   1.199813  -0.639049   1.424251  -0.427277   0.189103   1.279168  -1.028491
   1.448623   0.772202   1.528282   1.447032  -0.151866  -0.133628   1.207964  -0.638473   1.473665  -0.432575   0.193039   1.272569  -1.171688
   1.466077   0.762603   1.521773   1.500752  -0.109773  -0.089545   1.218270  -0.640052   1.531418  -0.437704   0.196852   1.266177  -1.345241
   1.483530   0.752965   1.515442   1.563374  -0.063143  -0.040890   1.217624  -0.630680   1.598554  -0.442665   0.200513   1.260012  -1.555374
   1.500983   0.743292   1.509432   1.636214  -0.011745   0.012567   1.223755  -0.628084   1.676482  -0.447442   0.204006   1.254093  -1.810591
   1.518436   0.733585   1.503733   1.756706   0.065281   0.091687   1.195332  -0.590934   1.803711  -0.452019   0.207209   1.248507  -2.253372
   1.535890   0.723848   1.498247   1.800000   0.095711   0.124242   1.133135  -0.520010   1.852096  -0.456516   0.210016   1.243206  -2.430260
   1.553343   0.714082   1.492826   1.800000   0.101908   0.132598   1.098362  -0.476511   1.856098  -0.461142   0.212517   1.237947  -2.445101
   1.570796   0.704290   1.487384   1.800000   0.108220   0.141100   1.072216  -0.441639   1.860168  -0.465869   0.214848   1.232677  -2.460225
   1.588250   0.694476   1.481933   1.800000   0.114649   0.149750   1.054324  -0.415020   1.864304  -0.470663   0.217037   1.227407  -2.475631
   1.605703   0.684641   1.476469   1.800000   0.121196   0.158549   1.037173  -0.389142   1.868507  -0.475513   0.219098   1.222137  -2.491318
   1.623156   0.674787   1.470996   1.800000   0.127864   0.167498   1.024636  -0.367878   1.872775  -0.480407   0.221043   1.216870  -2.507285
   1.640609   0.664919   1.465513   1.800000   0.134652   0.176597   1.011874  -0.346390   1.877106  -0.485339   0.222883   1.211607  -2.523528
   1.658063   0.655038   1.460024   1.800000   0.141564   0.185847   1.002224  -0.328014   1.881502  -0.490300   0.224622   1.206349  -2.540048
   1.675516   0.645147   1.454529   1.800000   0.148600   0.195250   0.992098  -0.309160   1.885959  -0.495287   0.226266   1.201098  -2.556841
   1.692969   0.635248   1.449029   1.800000   0.155763   0.204806   0.984274  -0.292609   1.890478  -0.500294   0.227819   1.195856  -2.573906
   1.710423   0.625345   1.443527   1.800000   0.163055   0.214517   0.975892  -0.275502   1.895057  -0.505317   0.229286   1.190624  -2.591241
   1.727876   0.615439   1.438024   1.800000   0.170476   0.224383   0.969311  -0.260193   1.899696  -0.510351   0.230667   1.185403  -2.608843
   1.745329   0.605533   1.432521   1.800000   0.178030   0.234406   0.962149  -0.244305   1.904392  -0.515394   0.231967   1.180195  -2.626711
   1.762783   0.595631   1.427020   1.800000   0.185718   0.244588   0.956444  -0.229873   1.909147  -0.520443   0.233186   1.175002  -2.644841
   1.780236   0.585734   1.421522   1.800000   0.193543   0.254929   0.950158  -0.214860   1.913957  -0.525493   0.234328   1.169824  -2.663231
   1.797689   0.575845   1.416027   1.800000   0.201505   0.265430   0.945079  -0.201055   1.918822  -0.530542   0.235393   1.164664  -2.681879
   1.815142   0.565967   1.410540   1.800000   0.209609   0.276094   0.939425  -0.186674   1.923742  -0.535587   0.236384   1.159523  -2.700782
   1.832596   0.556102   1.405059   1.800000   0.217856   0.286922   0.934790  -0.173312   1.928714  -0.540625   0.237300   1.154402  -2.719937
   1.850049   0.546253   1.399588   1.800000   0.226247   0.297916   0.929588  -0.159384   1.933738  -0.545654   0.238145   1.149302  -2.739342
   1.867502   0.536423   1.394127   1.800000   0.234787   0.309076   0.925255  -0.146325   1.938812  -0.550672   0.238918   1.144225  -2.758992
   1.884956   0.526615   1.388677   1.800000   0.243477   0.320405   0.920365  -0.132708   1.943935  -0.555675   0.239620   1.139173  -2.778885
   1.902409   0.516829   1.383241   1.800000   0.252320   0.331905   0.916222  -0.119838   1.949107  -0.560662   0.240253   1.134146  -2.799017
   1.919862   0.507071   1.377819   1.800000   0.261319   0.343577   0.911529  -0.106418   1.954325  -0.565630   0.240818   1.129146  -2.819385
   1.937315   0.497341   1.372414   1.800000   0.270477   0.355424   0.907479  -0.093642   1.959588  -0.570577   0.241314   1.124174  -2.839985
   1.954769   0.487642   1.367026   1.800000   0.279796   0.367448   0.902886  -0.080322   1.964896  -0.575501   0.241744   1.119231  -2.860815
   1.972222   0.477978   1.361657   1.800000   0.289279   0.379651   0.898848  -0.067558   1.970246  -0.580400   0.242107   1.114319  -2.881868
   1.989675   0.468350   1.356308   1.800000   0.298930   0.392035   0.894269  -0.054252   1.975637  -0.585270   0.242404   1.109439  -2.903143
   2.007129   0.458762   1.350982   1.800000   0.308752   0.404602   0.890168  -0.041424   1.981069  -0.590112   0.242635   1.104593  -2.924633
   2.024582   0.449215   1.345677   1.800000   0.318749   0.417356   0.885527  -0.028056   1.986539  -0.594921   0.242803   1.099780  -2.946337
   2.042035   0.439712   1.340398   1.800000   0.328923   0.430299   0.881293  -0.015096   1.992046  -0.599697   0.242906   1.095003  -2.968247
   2.059489   0.430255   1.335144   1.800000   0.339279   0.443433   0.876516  -0.001592   1.997589  -0.604438   0.242945   1.090263  -2.990361
   2.076942   0.420848   1.329918   1.800000   0.349820   0.456762   0.872083   0.011568   2.003166  -0.609140   0.242922   1.085560  -3.012673
   2.094395   0.411492   1.324721   1.800000   0.360550   0.470289   0.867100   0.025277   2.008775  -0.613803   0.242836   1.080896  -3.035179
   2.111848   0.402191   1.319553   1.800000   0.371474   0.484017   0.862400   0.038704   2.014416  -0.618425   0.242688   1.076272  -3.057873
   2.129302   0.392945   1.314417   1.800000   0.382596   0.497949   0.857140   0.052690   2.020087  -0.623003   0.242479   1.071689  -3.080750
   2.146755   0.383759   1.309313   1.800000   0.393919   0.512090   0.852103   0.066454   2.025785  -0.627536   0.242209   1.067148  -3.103805
   2.164208   0.374634   1.304244   1.800000   0.405450   0.526442   0.846493   0.080790   2.031510  -0.632022   0.241878   1.062650  -3.127032
   2.181662   0.365572   1.299209   1.800000   0.417191   0.541010   0.841047   0.094963   2.037259  -0.636459   0.241487   1.058195  -3.150426
   2.199115   0.356576   1.294212   1.800000   0.429150   0.555798   0.835008   0.109729   2.043032  -0.640846   0.241037   1.053786  -3.173981
   2.216568   0.347649   1.289252   1.800000   0.441330   0.570811   0.829072   0.124391   2.048827  -0.645179   0.240528   1.049423  -3.197690
   2.234021   0.338792   1.284332   1.800000   0.453738   0.586052   0.822518   0.139672   2.054641  -0.649458   0.239959   1.045106  -3.221548
   2.251475   0.330009   1.279452   1.800000   0.466378   0.601527   0.816001   0.154916   2.060473  -0.653681   0.239333   1.040837  -3.245548
   2.268928   0.321300   1.274614   1.800000   0.479258   0.617241   0.808833   0.170811   2.066321  -0.657846   0.238649   1.036617  -3.269684
   2.286381   0.312669   1.269819   1.800000   0.492382   0.633199   0.801630   0.186740   2.072185  -0.661951   0.237907   1.032445  -3.293949
   2.303835   0.304117   1.265068   1.800000   0.505759   0.649407   0.793732   0.203365   2.078061  -0.665993   0.237109   1.028325  -3.318336
   2.321288   0.295648   1.260363   1.800000   0.519394   0.665871   0.785718   0.220105   2.083948  -0.669972   0.236254   1.024255  -3.342839
   2.338741   0.287262   1.255704   1.800000   0.533294   0.682597   0.776949   0.237601   2.089844  -0.673886   0.235342   1.020236  -3.367450
   2.356194   0.278963   1.251093   1.800000   0.547468   0.699592   0.767968   0.255309   2.095748  -0.677732   0.234375   1.016271  -3.392161
   2.373648   0.270752   1.246531   1.800000   0.561923   0.716863   0.758152   0.273852   2.101658  -0.681508   0.233352   1.012358  -3.416966
   2.391101   0.262631   1.242020   1.800000   0.576668   0.734417   0.747999   0.292731   2.107571  -0.685213   0.232274   1.008500  -3.441857
   2.408554   0.254603   1.237559   1.800000   0.591710   0.752262   0.736902   0.312555   2.113487  -0.688844   0.231141   1.004696  -3.466826
   2.426008   0.246669   1.233153   1.800000   0.607059   0.770406   0.725299   0.332884   2.119402  -0.692399   0.229952   1.000948  -3.491865
   2.443461   0.238832   1.228798   1.800000   0.622725   0.788858   0.712593   0.354317   2.125316  -0.695876   0.228709   0.997255  -3.516966
   2.460914   0.231094   1.224499   1.800000   0.638717   0.807628   0.699129   0.376507   2.131225  -0.699272   0.227410   0.993619  -3.542121
   2.478368   0.223455   1.220256   1.800000   0.655047   0.826724   0.684311   0.400053   2.137129  -0.702585   0.226055   0.990040  -3.567321
   2.495821   0.215920   1.216063   1.800000   0.671726   0.846158   0.668298   0.424791   2.143025  -0.705811   0.224644   0.986519  -3.592558
   2.513274   0.208488   1.211934   1.800000   0.688765   0.865940   0.650481   0.451335   2.148912  -0.708947   0.223176   0.983056  -3.617823
   2.530727   0.201163   1.207880   1.800000   0.706176   0.886082   0.630471   0.480073   2.154787  -0.711989   0.221648   0.979652  -3.643108
   2.548181   0.193946   1.203873   1.800000   0.723974   0.906596   0.607614   0.511656   2.160649  -0.714931   0.220058   0.976307  -3.668403
   2.565634   0.186839   1.199913   1.799987   0.742164   0.927488   0.577479   0.550517   2.166479  -0.717764   0.218398   0.973024  -3.693631
   2.583087   0.179843   1.195997   1.777782   0.748364   0.936375   0.539336   0.597387   2.145509  -0.720484   0.216637   0.969784  -3.603209
   2.600541   0.172960   1.192087   1.734409   0.742707   0.933388   0.510879   0.634571   2.098762  -0.723130   0.214762   0.966541  -3.404800
   2.617994   0.166192   1.188144   1.697248   0.740539   0.933874   0.490470   0.663706   2.059251  -0.725723   0.212793   0.963285  -3.240514
   2.635447   0.159541   1.184186   1.662948   0.740080   0.936050   0.470271   0.692632   2.022961  -0.728261   0.210749   0.960026  -3.092371
   2.652900   0.153008   1.180216   1.628543   0.739613   0.938200   0.450986   0.720644   1.986298  -0.730739   0.208633   0.956768  -2.945380
   2.670354   0.146595   1.176235   1.594038   0.739142   0.940327   0.432414   0.747942   1.949270  -0.733158   0.206449   0.953509  -2.799655
   2.687807   0.140304   1.172246   1.559465   0.738684   0.942446   0.414521   0.774562   1.911914  -0.735517   0.204201   0.950250  -2.655416
   2.705260   0.134135   1.168246   1.524797   0.738222   0.944540   0.397195   0.800614   1.874196  -0.737816   0.201892   0.946992  -2.512612
   2.722714   0.128091   1.164236   1.490048   0.737761   0.946615   0.380296   0.826240   1.836133  -0.740054   0.199524   0.943734  -2.371385
   2.740167   0.122172   1.160217   1.455217   0.737300   0.948666   0.363860   0.851403   1.797722  -0.742231   0.197101   0.940476  -2.231804
   2.757620   0.116381   1.156189   1.420306   0.736840   0.950694   0.347695   0.876295   1.758967  -0.744346   0.194625   0.937220  -2.093966
   2.775074   0.110718   1.152153   1.385324   0.736382   0.952701   0.331913   0.900803   1.719877  -0.746398   0.192098   0.933965  -1.957978
   2.792527   0.105186   1.148107   1.350264   0.735921   0.954680   0.316298   0.925145   1.680446  -0.748388   0.189523   0.930710  -1.823898
   2.809980   0.099784   1.144054   1.315138   0.735465   0.956638   0.301011   0.949158   1.640688  -0.750314   0.186902   0.927458  -1.691856
   2.827433   0.094515   1.139993   1.279943   0.735007   0.958569   0.285817   0.973079   1.600598  -0.752175   0.184236   0.924206  -1.561913
   2.844887   0.089379   1.135925   1.244682   0.734549   0.960472   0.270906   0.996717   1.560183  -0.753972   0.181529   0.920957  -1.434172
   2.862340   0.084378   1.131850   1.209363   0.734095   0.962351   0.256038   1.020312   1.519452  -0.755704   0.178781   0.917709  -1.308734
   2.879793   0.079513   1.127767   1.173979   0.733637   0.964198   0.241410   1.043666   1.478399  -0.757369   0.175996   0.914464  -1.185664
   2.897247   0.074785   1.123678   1.138543   0.733183   0.966020   0.226792   1.067011   1.437041  -0.758968   0.173174   0.911221  -1.065088
   2.914700   0.070195   1.119583   1.103049   0.732727   0.967810   0.212378   1.090151   1.395373  -0.760499   0.170318   0.907980  -0.947065
   2.932153   0.065744   1.115481   1.067506   0.732273   0.969572   0.197946   1.113311   1.353405  -0.761963   0.167429   0.904741  -0.831705
   2.949606   0.061433   1.111375   1.031915   0.731820   0.971303   0.183688   1.136295   1.311143  -0.763359   0.164510   0.901506  -0.719095
   2.967060   0.057263   1.107262   0.996274   0.731365   0.973000   0.169387   1.159323   1.268585  -0.764686   0.161562   0.898273  -0.609308
   2.984513   0.053235   1.103145   0.960594   0.730914   0.974669   0.155239   1.182197   1.225749  -0.765944   0.158587   0.895043  -0.502460
   3.001966   0.049349   1.099023   0.924870   0.730459   0.976301   0.141022   1.205140   1.182628  -0.767132   0.155587   0.891816  -0.398610
   3.019420   0.045607   1.094897   0.889110   0.730007   0.977902   0.126942   1.227947   1.139239  -0.768250   0.152564   0.888593  -0.297866
   3.036873   0.042008   1.090767   0.853315   0.729556   0.979469   0.112771   1.250845   1.095583  -0.769298   0.149519   0.885373  -0.200302
   3.054326   0.038555   1.086633   0.817485   0.729101   0.980998   0.098716   1.273626   1.051664  -0.770275   0.146454   0.882156  -0.105997
   3.071779   0.035247   1.082496   0.781629   0.728652   0.982497   0.084557   1.296512   1.007497  -0.771180   0.143371   0.878943  -0.015050
   3.089233   0.032084   1.078355   0.745741   0.728197   0.983954   0.070491   1.319305   0.963078  -0.772014   0.140272   0.875734   0.072481
   3.106686   0.029069   1.074211   0.709833   0.727748   0.985379   0.056312   1.342211   0.918425  -0.772776   0.137159   0.872528   0.156496
   3.124139   0.026200   1.070065   0.673901   0.727296   0.986764   0.042201   1.365048   0.873538  -0.773466   0.134033   0.869327   0.236932
   3.141593   0.023480   1.065917   0.637950   0.726843   0.988111   0.027966   1.388009   0.828426  -0.774083   0.130896   0.866130   0.313711
   3.159046   0.020907   1.061767   0.601985   0.726395   0.989424   0.013782   1.410920   0.783100  -0.774628   0.127750   0.862937   0.386754
   3.176499   0.018482   1.057616   0.566002   0.725939   0.990690  -0.000543   1.433972   0.737560  -0.775099   0.124596   0.859748   0.456005
   3.193953   0.016207   1.053463   0.530012   0.725490   0.991923  -0.014827   1.456983   0.691825  -0.775497   0.121437   0.856564   0.521378
   3.211406   0.014080   1.049309   0.494013   0.725038   0.993113  -0.029276   1.480159   0.645895  -0.775821   0.118274   0.853385   0.582820
   3.228859   0.012102   1.045155   0.458007   0.724583   0.994260  -0.043696   1.503305   0.599780  -0.776072   0.115109   0.850210   0.640264
   3.246312   0.010274   1.041000   0.422002   0.724134   0.995371  -0.058291   1.526627   0.553492  -0.776249   0.111944   0.847040   0.693646
   3.263766   0.008596   1.036846   0.385998   0.723688   0.996445  -0.072884   1.549947   0.507039  -0.776352   0.108780   0.843875   0.742911
   3.281219   0.007067   1.032692   0.349995   0.723237   0.997471  -0.087679   1.573468   0.460426  -0.776381   0.105620   0.840715   0.788008
